Title	Item Type	Publication Year	Author.x	Publication Title	1st_author_origin	study_city	study_country	spatial_scale	type_of_analysis	disciplinary_focus	component	paradigm	dev_author_country	dev_sc	Author	Tema.central	Por.qué.no.se.incluye.	Información.extra	
International Year of Planet Earth 9. Geology in the Urban Environment in Canada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Karrow, P. F. & Clague, John J.	problemas urbanos producto de como la geologia juega un rol importante. Usod e energias alternativas	NA	NA	
Field measurement on the comfort level of acoustic environment in coastal zone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Katayama, M	mediciones de la vista frente al mar considerando ambientes urbanos , facctores fisicos y ambientes naturales	NA	NA	
Interactive Simulation and Visualisation of Realistic Flooding Scenarios	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kehl, Christian & de Haan, Gerwin	inundciones en regiones costeras y zonas urbanas y su efecto en la poblacion humana	NA	NA	
Northwest African and Middle Eastern food and dietary change of indigenous peoples	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Kuhnlein, H. V.; Johns, T. & Peoples, I. U. N. S. Task Force Indigenous"	cambios de dieta en indigenas africanos producto de la urbanizacion	se cconsidera ambientes costeros	NA	
Integrating climate change factors into China's development policy: Adaptation strategies and mitigation to environmental change	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Li, Yangfan; Yang, Xiao; Zhu, Xiaodong; Mulvihill, Peter R.; Matthews, H. Damon; Sun, Xiang"	planificacion para el cambio climatico	NA	NA	
Responses of avian guilds to urbanisation in a tropical city	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lim, H. C. & Sodhi, N. S.	respuesta de las aves a la urbanizacion	NA	NA	
Dynamics and controls of urban heat sink and island phenomena in a desert city: Development of a local climate zone scheme using remotely-sensed inputs	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Nassar, Ahmed K.; Blackburn, G. Alan & Whyatt, J. Duncan"	temperatura de la ciudad y efectos del mar y otros fcctores	NA	NA	
Assessment of human thermal perception in the hot-humid climate of Dar es Salaam, Tanzania	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ndetto, Emmanuel L. & Matzarakis, Andreas	perceptcion de temperatura en ambiente costero e interior enla epoca calida	ademas incluye percepciones de las personas	NA	
Multitiered approach using quantitative PCR to track sources of fecal pollution affecting Santa Monica Bay, California	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Noble, R. T.; Griffith, J. F.; Blackwood, A. D.; Fuhrman, J. A.; Gregory, J. B.; Hernandez, X.; Liang, X. L.; Bera, A. A. & Schiff, K."	presencia bacterias fecales en los rios y deposicion en la costa	NA	NA	
Unhealthy landscapes: Policy recommendations on land use change and infectious disease emergence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Patz, JA; Daszak, P; Tabor, GM; Aguirre, AA; Pearl, M; Epstein, J; Wolfe, ND; Kilpatrick, AM; Foufopoulos, J; Molyneux, D; Bradley, DJ; Dis, Working Grp Land Use Change"	cambios de uso de suelo, degradacion y contagio de enferemedades	NA	NA	
SUSTAINABLE PLANNING FOR POOR COMMUNITIES: URBAN DESIGN STUDIOS AS A CATALYST FOR DEVELOPMENT IN COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pizarro, Rafael E.	diseño urbano en ciudades costeras	NA	NA	
ANTIBODIES TO SPOTTED-FEVER GROUP RICKETTSIAE IN DOGS IN CROATIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PUNDAPOLIC, V.; BRADARIC, N.; KLISMANICNUBER, Z.; MRLJAK, V. & GILJANOVIC, M."	anticuerpos y perros enfermos en ciudades costeras y continentales de croacia	NA	NA	
Patterns, Drivers and Implications of Demographic Change in Rural Landscapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Race, Digby; Luck, Gary W.; Black, Rosemary"	migraciones de la poblacion humana de ciudades a pueblos costeros	NA	NA	
Nitrogen-cycling process rates across urban ecosystems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Reisinger, Alexander J.; Groffman, Peter M. & Rosi-Marshall, Emma J."	nitrogeno como nutriente en distintos ecosistemas	NA	NA	
Comparison of the exotic and native ant communities (Hymenoptera: Formicidae) in urban green areas at inland, coastal and insular sites in Spain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reyes-Lopez, Joaqun & Carpintero, Soledad	comunidades en distintos ambientes	NA	NA	
Urban flood mitigation: sustainable options	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Serre, D.; Barroca, B. & Diab, Y."	evolucion del riesgo de inundaciones en distintos ambientes	NA	NA	
Assessing the Role of Parameter and Input Uncertainty in Ecohydrologic Modeling: Implications for a Semi-arid and Urbanizing Coastal California Catchment	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Shields, Catherine A. & Tague, Christina L.	interaccion planta-agua en distintos ambientes	NA	NA	
Change in Environmental Benefits of Urban Land Use and Its Drivers in Chinese Cities, 2000-2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Song, Xiaoqing; Chang, Kang-tsung; Yang, Liang; Scheffran, Juergen"	comparacion desarrollo en distintas ciudades de china sumado a otros factores	NA	NA	
The CELRL and climate changes: Urban and environmental protection and restoration of French coasts	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Stamatiou, Eleni; Lacroix, Richard-N."	cambio climatico y proteccion del borde costero	NA	NA	
`Eco-city' to `disaster-resilient eco-community': a concerted approach in the coastal city of Puri, India	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Surjan, Akhilesh Kumar & Shaw, Rajib	ecocities, planificacion y conservacion	NA	NA	
Changes in species assemblages within the Adelaide Metropolitan Area, Australia, 1836-2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Tait, C. J.; Daniels, C. B. & Hill, R. S."	comparacion de especies del presente al pasado, considdera aves marinas	NA	NA	
Levels and sources of polycyclic aromatic hydrocarbons (PAHs) in selected irrigated urban agricultural soils in Accra, Ghana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tay, Collins K. & Biney, Charles A.	hidrocarbonos aromaticos en el suelo de actividad agricola proveniente de ambientes como el marino	NA	NA	
Urban environmental management in Shanghai: Achievements, problems, and prospects	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tu, W. & Shi, C.	shanghai, planificacion y desarrollo sustentable	NA	NA	
Integrating demographic and meteorological data in urban ecology: a case study of container-breeding mosquitoes in temperate Argentina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Victoria Cardo, Maria; Vezzani, Dario; Rubio, Alejandra & Carbajo, Anibal E."	presencia de mosquito y zonacion ciudad de BBAA	NA	NA	
Resilience thinking and urban planning in a coastal environment under the risk of tsunami: the case of Mehuin, Chile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Villagra, Paula; Herrmann, Geraldine; Quintana, Carolina; Sepulveda, Roger D."	planificacion ciudad costera según eventos naturales	NA	NA	
Integration of drainage, water quality and flood management in rural, urban and lowland areas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Vlotman, Willem F.; Wong, Tony & Schultz, Bart"	manojo del drenaje de las aguas en sectores de ddistinta altura o incluso, cercanos a la costa	NA	NA	
Evaluation of urban planning strategies with a versatile urban growth model	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Vye, D. & Rousseaux, F.	planificacion ciudad costera y sustentabilidad	NA	NA	
Research on the Retrieval of Land Surface Temperature based on MODIS Data	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Wang, Kang; Li, Liangchao; Guo, Yanni; Jin, Lanhai"	temperatura y uso de suelo según MODIS	NA	NA	
MECHANISMS OF CADMIUM TOXICITY TO VARIOUS TROPHIC SALTWATER ORGANISMS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Wang, Zaosheng; Yen, Changzhou; Kong, Hainan; Wu, Deyi"	concentracion de cadmio en organismo en cadena trofica marina	NA	NA	
Home range, habitat use and movements by the little raven (Corvus mellori) in a coastal peri-urban landscape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Whisson, Desley A.; Weston, Michael A.; Shannon, Kelly"	cuervo e toca puntos de ambientes marinos	NA	NA	
What the Deep Sea Can Tell Us about Microwaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Williams, Catrin F.; Lloyd, David; Lees, Jonathan; Pirog, Antoine; Geroni, Gilles M.; Pastre, Jordan; Kriegel, Valentin; Porch, Adrian"	uso de microorganismos para detectar efectos no termales de microondas	NA	NA	
Coupled modeling of storm surge and coastal inundation: A case study in New York City during Hurricane Sandy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yin, Jie; Lin, Ning; Yu, Dapeng"	modelacion inundaciones, huracan sandy	NA	NA	
Araca: biodiversity, impacts and threats	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Zacagnini Amaral, Antonia Cecilia; Migotto, Alvaro Eseves; Turra, Alexander; Schaeffer-Novelli, Yara"	resumen de un area de manglares en sao paulo, brasil	NA	NA	
Frequency Analysis for Predicting Extreme Precipitation in Changxing Station of Taihu Basin, China	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Zhou, Zhengzheng; Liu, Shuguang; Hua, Hong; Chen, Chang-Shian; Zhong, Guihui; Lin, Hejuan & Huang, Chien-Wei"	planificacion ciuda de la costa en china	NA	NA	
The public health planners' perfect storm: Hurricane Matthew and Zika virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Ahmed, Qanta A.; Memish, Ziad A."	huracan modificando ambientes urbanos y brotes de zika virus	NA	NA	
Green city Banda Aceh: city planning approach and environmental aspects	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arif, A. A.	conversion a una ciudad verde en la costa producto de tsunamis, planificacion y perspectiva ecologica de las ciudades y ambientes naturale	NA	NA	
Nowhere safe? Exploring the influence of urbanization across mainland and insular seashores in continental Portugal and the Azorean Archipelago	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bertocci, Iacopo; Arenas, Francisco; Cacabelos, Eva; Martins, Gustavo M.; Seabra, Maria I.; Alvaro, Nuno V.; Fernandes, Joana N.; Gaiao, Raquel; Mamede, Nuno; Mulas, Martina; Neto, Ana I."	comparacion entre ambientes urbanos y menos afectados por humanos y costeros-terrestres	NA	NA	
Source apportionment of air pollutants in the Greater Auckland Region of New Zealand using receptor models and elemental levels in the lichen, Parmotrema reticulatum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Boamponsem, Louis K.; de Freitas, C. R.; Williams, David"	liquen como biomonitor de contaminacion, considerando ambientes marinos o efectos marinos	NA	NA	
Coastal urban lighting has ecological consequences for multiple trophic levels under the sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bolton, D.; Mayer-Pinto, M.; Clark, G. F.; Dafforn, K. A.; Brassil, W. A.; Becker, A.; Johnston, E. L."	efectos luz artificial durante la noche en las costas y efectos troficos costeros	NA	NA	
Perceptions of Caucasian users about avian resources and beach restoration following hurricane Sandy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Burger, Joanna; Tsipoura, Nellie; Simnor, April; Pittfield, Taryn; Jeitner, Christian; Mizrahi, David; Niles, Larry; Ferguson, Lisa"	percepcciones de los usuarios de las playas sobre el uso de las playas de las aves que perdieron su habitat durante el huracan sandy	NA	NA	
Evaluation of coarse and fine particles in diverse Indian environments	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"George, K. V.; Patil, Dinakar D.; Anil, Mulukutla N. V.; Kamal, Neel; Alappat, Babu J.; Kumar, Prashant"	estimacion de PM2,5 y su presencia en distintos ambietes	NA	NA	
Seagrass ecosystems reduce exposure to bacterial pathogens of humans, fishes, and invertebrates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Lamb, Joleah B.; van de Water, Jeroen A. J. M.; Bourne, David G.; Altier, Craig; Hein, Margaux Y.; Fiorenza, Evan A.; Abu, Nur; Jompa, Jamaluddin; Harvell, C. Drew"	remocion de algas podria afectar la proteccion que realizan sobre control de bacterias, efecto de ambientes urbanos	NA	NA	
Quantifying urban ecological governance: A suite of indices characterizes the ecological planning implications of rapid coastal urbanization	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Li, Yangfan; Qiu, Jianhui; Zhao, Bo; Pavao-Zuckerman, Mitchell; Bruns, Antje; Qureshi, Salman; Zhang, Chen; Li, Yi"	caso de estudio en china donde evaluan un marco conceptual socio-ecologico	NA	sociecologico	
Assessment of human thermal perception in the hot-humid climate of Dar es Salaam, Tanzania	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Ndetto, Emmanuel L.; Matzarakis, Andreas"	percepcion de la temperatura de las personas en una region de africa en verano dondese comparo areas mas o menos intervenidas por el hombre	NA	socioecologico	
From urban climate to energy consumption. Enhancing building performance simulation by including the urban heat island effect	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Palme, M.; Inostroza, L.; Villacreses, G.; Lobato-Cordero, Andrea; Carrasco, C."	calentamiento de la ciudades, efecto isla en ciudades costeras del pacifico sur	NA	NA	
Modeling of urban wind ventilation using high resolution airborne LiDAR data	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Peng, Fen; Wong, Man Sing; Wan, Yiliang; Nichol, Janet E."	modelacion de los vientos provenientes del mar en la peninsula de Kowloon y el efecto pared de los edificios en la ciudad de hong kong	NA	NA	
Microscopic characterisation of black crusts on different substrates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Pozo-Antonio, J. S.; Pereira, M. F. C.; Rocha, C. S. A."	presencia de costra negra en edificios, efecto urbano y comparacion entre ambientes, entre ellos marino y su efecto	NA	NA	
Citizen science datasets reveal drivers of spatial and temporal variation for anthropogenic litter on Great Lakes beaches	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Vincent, Anna; Drag, Nate; Lyandres, Olga; Neville, Sarah; Hoellein, Timothy"	basura producida por el hombre en costa oceanica, comparacion entre sustratos	NA	NA	
