Title	Item Type	Publication Year	Author.x	Publication Title	1st_author_origin	study_city	study_country	spatial_scale	type_of_analysis	disciplinary_focus	component	paradigm	dev_author_country	dev_sc	Author	Tema.central	Por.qué.no.se.incluye.	Información.extra	
Contaminants in urban runoff to Norwegian fjords	journalArticle	2010	"Jartun, Morten; Pettersen, Arne"	JOURNAL OF SOILS AND SEDIMENTS	Norway	Bergen	Norway	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
Contamination of outdoor settled dust by butyltins in Malta	journalArticle	2007	"Decelis, Rachel; Vella, Alfred J."	APPLIED ORGANOMETALLIC CHEMISTRY	Malta	na	Malta	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Corrosion behavior of 316L and 304 stainless steels exposed to industrial-marine-urban environment: field study	journalArticle	2016	"Dhaiveegan, P.; Elangovan, N.; Nishimura, T.; Rajendran, N."	RSC ADVANCES	India	na	India	c+	qt	e	a	in	2	2	NA	NA	NA	NA	
Costs of Adapting Coastal Defences to Sea-Level Rise-New Estimates and Their Implications	journalArticle	2013	"Jonkman, Sebastiaan N.; Hillen, Marten M.; Nicholls, Robert J.; Kanning, Wim; van Ledden, Mathijs"	JOURNAL OF COASTAL RESEARCH	Netherlands	na	na	c+	qt	sp	a	for	1	na	NA	NA	NA	NA	
CURRENT DISTRIBUTION, HABITAT USE, AND BREEDING RECORDS OF THE HOUSE SPARROW (PASSER DOMESTICUS) IN VENEZUELA	journalArticle	2016	"Sainz-Borgo, Cristina; Giner, Sandra; Gonzalez-Carcacia, Jose A.; Caula, Sabina; Escola Bracho, Fidel; Carlos Fernandez-Ordonez, Juan; Hernandez, Cheyla; Hernandez, Marieta; Marin-Espinoza, Gedio; Torres, Lermith; Rodriguez-Ferraro, Adriana"	ORNITOLOGIA NEOTROPICAL	Venezuela	Falcon	Venezuela	c+	qt	e	b	in	2	2	NA	NA	NA	NA	
Daytime urban heat islands from Landsat ETM+ and Corine land cover data: An application to major cities in Greece	journalArticle	2007	"Stathopoulou, Marina; Cartalis, Constantinos"	SOLAR ENERGY	Greece	Thessaloniki	Greece	c	m	e	a	in	1	1	NA	NA	NA	NA	
DETECTING COASTAL URBANIZATION AND LAND USE CHANGE IN SOUTHERN TURKEY	journalArticle	2016	"Alphan, Hakan; Guvensoy, Laden"	JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT	Turkey	Mersin	Turkey	c+	qt	se	ah	of	1	1	NA	NA	NA	NA	
Differences in Benzene Patterns Among Traffic and Industrial Areas and a Prediction Model for Benzene Rates Based on NOx Values	journalArticle	2015	"Paz, Shlomit; Goldstein, Pavel; Kordova-Biezuner, Levana; Adler, Lea"	WATER AIR AND SOIL POLLUTION	Israel	Tel Aviv	Israel	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Disasters, migrations, and the unintended consequences of urbanization: What's the harm in getting out of harm's way?	journalArticle	2016	"Wolsko, Christopher; Marino, Elizabeth"	POPULATION AND ENVIRONMENT	USA	Shishmaref	Alaska	c	o	se	ah	of	1	2	NA	NA	NA	NA	
District cooling and heating with seawater as heat source and sink in Dalian, China	journalArticle	2007	"Zhen, Li; Duanmu, Lin; Shu, H. W.; Jiang, Shuang; Zhu, Y. X."	RENEWABLE ENERGY	China	Dalian	China	c	qt	e	a	in	2	2	NA	NA	NA	NA	
Diurnal and intra-urban particle concentrations in relation to windspeed and stability during the dry season in three African cities	journalArticle	2009	"Eliasson, I.; Jonsson, P.; Holmer, B."	ENVIRONMENTAL MONITORING AND ASSESSMENT	Sweden	Dar es Salaam	Tanzania	c	qt	e	a	in	1	2	NA	NA	NA	NA	
Does avian flight initiation distance indicate tolerance towards urban disturbance?	journalArticle	2012	"Lin, Tao; Coppack, Timothy; Lin, Qing-xian; Kulemeyer, Christoph; Schmidt, Andreas; Behm, Holger; Luo, Tao"	ECOLOGICAL INDICATORS	China	Xiamen	China	c	qt	e	b	in	2	2	NA	NA	NA	NA	
Drill-cored rock pools: an effective method of ecological enhancement on artificial structures	journalArticle	2016	"Evans, Ally J.; Firth, Louise B.; Hawkins, Stephen J.; Morris, Elisabeth S.; Goudge, Harry; Moore, Pippa J."	MARINE AND FRESHWATER RESEARCH	UK	Tywyn	UK	c-	qt	e	ab	in	1	1	NA	NA	NA	NA	
Early urban impact on Mediterranean coastal environments	journalArticle	2013	"Kaniewski, David; Van Campo, Elise; Morhange, Christophe; Guiot, Joel; Zviely, Dov; Shaked, Idan; Otto, Thierry; Artzy, Michal"	SCIENTIFIC REPORTS	France	Akko	Israel	c-	qt	e	b	in	1	1	NA	NA	NA	NA	
Ecosystem indicators for Southeast Florida beaches	journalArticle	2014	"Marshall, Frank E.; Banks, Kenneth; Cook, Geoffrey S."	ECOLOGICAL INDICATORS	USA	Jacksonville	USA	c+	ql	se	ah	of	1	1	NA	NA	NA	NA	
Editorial Improving the productivity and sustainability of terrestrial and aquatic food production systems: future perspectives	journalArticle	2011	"Crute, I. R.; Muir, J. F."	JOURNAL OF AGRICULTURAL SCIENCE	UK	na	UK	na	o	ep	ah	for	1	1	NA	NA	NA	NA	
Effects of Hurricane Katrina on the urban resident landbirds of New Orleans, Louisiana	journalArticle	2008	Yaukey, Peter H.	CONDOR	USA	New Orleans	USA	c	qt	e	ab	in	1	1	NA	NA	NA	NA	
Environmental impact on the Roman monuments of Tarragona, Spain	journalArticle	1996	"VendrellSaz, M; GarciaValles, M; Alarcon, S; Molera, J"	ENVIRONMENTAL GEOLOGY	Spain	Tarragona	Spain	c	qt	se	a	in	1	1	NA	NA	NA	NA	
Evaluating wetlands within an urban context	journalArticle	2000	Ehrenfeld, JG	ECOLOGICAL ENGINEERING	USA	New Jersey	USA	c	ql	e	a	in	1	1	NA	NA	NA	NA	
Evaluation of urban environment pollution based on the accumulation of macro- and trace elements in epiphytic lichens	journalArticle	2016	"Parzych, Agnieszka; Astel, Aleksander; Zdunczyk, Anna; Surowiec, Tomasz"	JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING	Poland	Slupsk	Poland	c	qt	e	ab	in	2	2	NA	NA	NA	NA	
Extreme sea-level rise and adaptation options for coastal resort cities: A qualitative assessment from the Gold Coast, Australia	journalArticle	2012	"Cooper, J. A. G.; Lemckert, C."	OCEAN & COASTAL MANAGEMENT	Ireland	Brisbane	Australia	c+	o	ep	ah	for	1	1	NA	NA	NA	NA	
Feelings of restoration from recent nature visits	journalArticle	2013	"White, Mathew P.; Pahl, Sabine; Ashbullby, Katherine; Herbert, Stephen; Depledge, Michael H."	JOURNAL OF ENVIRONMENTAL PSYCHOLOGY	UK	na	UK	c+	qt	se	ah	of	1	1	NA	NA	NA	NA	
Fine-scale flight strategies of gulls in urban airflows indicate risk and reward in city living	journalArticle	2016	"Shepard, Emily L. C.; Williamson, Cara; Windsor, Shane P."	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	UK	Swansea City	UK	c	qt	ep	bh	for	1	1	NA	NA	NA	NA	
Fluctuation of groundwater in an urban coastal city of India: a GIS-based approach	journalArticle	2011	"Vijay, Ritesh; Sharma, Abhinav; Ramya, S. S.; Gupta, Apurba"	HYDROLOGICAL PROCESSES	India	Puri	India	c	qt	e	a	in	2	2	NA	NA	NA	NA	
FORAGING ECOLOGY OF FOUR GULL SPECIES AT A COASTAL-URBAN INTERFACE	journalArticle	2013	"Washburn, Brian E.; Bernhardt, Glen E.; Kutschbach-Brohl, Lisa; Chipman, Richard B.; Francoeur, Laura C."	CONDOR	USA	New York	USA	c-	qt	e	b	in	1	1	NA	NA	NA	NA	
Globalization, tourism and local living conditions on Jamaica's north coast	journalArticle	2009	Dodman, David	SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY	UK	Lucea	Jamaica	c	qt	se	h	for	1	2	NA	NA	NA	NA	
Groundwater quality and its change over a decade: An analysis of a coastal urban environment from the west coast of India	journalArticle	2004	"Rajesh, R; Murthy, TRS"	ENVIRONMENTAL GEOLOGY	India	Mangalore	India	c	qt	e	a	in	2	2	NA	NA	NA	NA	
Gulls in urban environments: landscape-level management to reduce conflict	journalArticle	1997	Belant, JL	LANDSCAPE AND URBAN PLANNING	USA	na	na	c+	ql	se	bh	of	1	na	NA	NA	NA	NA	
HUMAN EXPOSURE TO CHLOROFORM IN A COASTAL URBAN-ENVIRONMENT	journalArticle	1979	BARCELONA, MJ	JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-ENVIRONMENTAL SCIENCE AND ENGINEERING & TOXIC AND HAZARDOUS SUBSTANCE CONTROL	USA	Los Angeles	USA	c	qt	se	a	in	1	1	NA	NA	NA	NA	
Human thermal perception of Coastal Mediterranean outdoor urban environments	journalArticle	2013	"Cohen, Pninit; Potchter, Oded; Matzarakis, Andreas"	APPLIED GEOGRAPHY	Israel	Tel Aviv	Israel	c	qt	se	ah	of	1	1	NA	NA	NA	NA	
Impacts of Aerosol Particle Size Distribution and Land Cover Land Use on Precipitation in a Coastal Urban Environment Using a Cloud-Resolving Mesoscale Model	journalArticle	2014	"Hosannah, Nathan; Gonzalez, Jorge E."	ADVANCES IN METEOROLOGY	USA	New York	several	c	qt	e	a	in	1	2	NA	NA	NA	NA	
IMPACTS OF LAND USE ON QUANTITY AND QUALITY OF URBAN RUNOFF (HERZLIYA AND RA'ANANA CASE STUDY)	conferencePaper	2010	"Garzuzi, J.; Goldshleger, N.; Ben-Dor, E.; Asaf, L.; Ben-Yamin, R."	CORE SPATIAL DATABASES - UPDATING, MAINTENANCE AND SERVICES - FROM THEORY TO PRACTICE	Israel	Herzliya	Israel	c	m	ep	ah	for	1	1	NA	NA	NA	NA	
Importance of matrix permeability and quantity of core habitat for persistence of a threatened saltmarsh bird	journalArticle	2013	"Ashcroft, Michael B.; Major, Richard E."	AUSTRAL ECOLOGY	Australia	Sydney	Australia	c+	qt	e	b	in	1	1	NA	NA	NA	NA	
Increases in the climate change adaption effectiveness and availability of vegetation across a coastal to desert climate gradient inmetropolitan Los Angeles, CA, USA	journalArticle	2016	"Tayyebi, Amin; Jenerette, G. Darrel"	SCIENCE OF THE TOTAL ENVIRONMENT	USA	Los Angeles	USA	c	qt	e	ab	in	1	1	NA	NA	NA	NA	
INFLUENCE OF SUBURBAN HABITAT ON A WINTERING BIRD COMMUNITY IN COASTAL NORTHERN CALIFORNIA	journalArticle	2010	"Kalinowski, Ryan S.; Johnson, Matthew D."	CONDOR	USA	Arcata	USA	c	qt	e	b	in	1	1	NA	NA	NA	NA	
Insights and Opportunities Offered by a Rapid Ecosystem Service Assessment in Promoting a Conservation Agenda in an Urban Biodiversity Hotspot	journalArticle	2012	"O'Farrell, Patrick J.; Anderson, Pippin M. L.; Le Maitre, David C.; Holmes, Patricia M."	ECOLOGY AND SOCIETY	South Africa	Cape Town	South Africa	c	qt	ep	ah	for	2	2	NA	NA	NA	NA	
Integration of Lidar Data into a Coupled Mesoscale-Land Surface Model: A Theoretical Assessment of Sensitivity of Urban-Coastal Mesoscale Circulations to Urban Canopy Parameters	journalArticle	2012	"Carter, Michael; Shepherd, J. Marshall; Burian, Steve; Jeyachandran, Indu"	JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY	USA	Houston	USA	c	m	e	a	in	1	1	NA	NA	NA	NA	
Inter-community variability in total particle number concentrations in the eastern Los Angeles air basin	journalArticle	2010	"Hudda, N.; Cheung, K.; Moore, K. F.; Sioutas, C."	ATMOSPHERIC CHEMISTRY AND PHYSICS	USA	Los Angeles	USA	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
Larval Development of Aedes aegypti and Aedes albopictus in Peri-Urban Brackish Water and Its Implications for Transmission of Arboviral Diseases	journalArticle	2011	"Ramasamy, Ranjan; Surendran, Sinnathamby N.; Jude, Pavilupillai J.; Dharshini, Sangaralingam; Vinobaba, Muthuladchumy"	PLOS NEGLECTED TROPICAL DISEASES	Sri Lanka	Batticaloa	Sri Lanka	c-	qt	e	b	in	2	2	NA	NA	NA	NA	
